OrderID,Date,Time,Location,Weather,OrderType,Price,DeliveryTime_min,IsDelayed,Rating
31,2025-03-24,12:24,Karaganda,Cloudy,Desserts,13.7,18,0,5
32,2025-03-19,14:12,Atyrau,Clear,Salads,13.45,84,1,2
33,2025-01-19,20:22,Atyrau,Rain,Pizza,21.24,30,0,2
34,2025-01-22,10:37,Astana,Clear,Sushi,19.37,70,1,1
35,2025-01-27,21:39,Atyrau,Snow,Sushi,18.81,82,1,5
36,2025-03-11,13:19,Karaganda,Clear,Desserts,4.68,31,0,4
37,2025-03-13,18:32,Almaty,Rain,Sushi,11.67,26,0,2
38,2025-03-25,19:23,Karaganda,Cloudy,Pizza,22.23,41,0,3
39,2025-01-11,12:06,Shymkent,Cloudy,Desserts,8.82,58,1,5
40,2025-03-28,09:45,Astana,Cloudy,Salads,17.91,90,1,1
41,2025-04-02,22:14,Karaganda,Cloudy,Desserts,23.76,55,1,3
42,2025-03-18,08:24,Astana,Rain,Pizza,18.77,115,1,2
43,2025-01-15,22:30,Shymkent,Clear,Desserts,24.82,42,0,4
44,2025-03-07,19:16,Almaty,Snow,Burgers,7.08,67,1,1
45,2025-03-31,19:30,Almaty,Cloudy,Desserts,9.16,50,1,4
46,2025-02-19,21:51,Karaganda,Clear,Desserts,5.51,88,1,5
47,2025-03-29,15:53,Shymkent,Clear,Desserts,9.55,38,0,2
48,2025-01-20,17:29,Atyrau,Cloudy,Sushi,4.42,53,1,4
49,2025-04-03,08:28,Almaty,Clear,Burgers,17.52,71,1,1
50,2025-03-30,19:48,Astana,Rain,Sushi,10.1,100,1,4
51,2025-01-22,09:26,Karaganda,Clear,Pizza,23.42,28,0,5
52,2025-02-14,09:26,Almaty,Snow,Salads,16.99,47,1,1
53,2025-01-03,13:50,Almaty,Clear,Sushi,7.22,47,1,2
54,2025-01-11,16:05,Almaty,Clear,Salads,14.84,63,1,2
55,2025-02-15,17:09,Karaganda,Clear,Sushi,10.9,16,0,1
56,2025-01-23,16:04,Karaganda,Clear,Burgers,9.33,48,1,1
57,2025-02-03,09:48,Almaty,Clear,Pizza,4.44,70,1,1
58,2025-03-19,08:02,Astana,Clear,Desserts,10.01,45,0,4
59,2025-04-03,08:19,Atyrau,Clear,Desserts,6.17,44,0,5
60,2025-03-24,16:50,Almaty,Clear,Burgers,16.32,30,0,2
61,2025-01-06,21:20,Almaty,Clear,Burgers,18.29,41,0,5
62,2025-03-24,10:38,Astana,Clear,Salads,6.14,60,1,4
63,2025-01-26,22:42,Shymkent,Cloudy,Salads,8.15,80,1,5
64,2025-04-20,20:27,Astana,Cloudy,Burgers,15.72,41,0,2
65,2025-02-27,18:34,Shymkent,Rain,Salads,5.99,82,1,1
66,2025-02-08,08:30,Astana,Rain,Burgers,16.76,76,1,3
67,2025-04-25,17:50,Atyrau,Clear,Pizza,8.28,53,1,4
68,2025-04-13,20:07,Atyrau,Clear,Pizza,23.22,30,0,4
69,2025-04-26,15:46,Karaganda,Clear,Salads,21.26,26,0,4
70,2025-03-30,14:13,Atyrau,Cloudy,Sushi,19.76,76,1,3
71,2025-02-22,20:41,Atyrau,Cloudy,Sushi,11.98,23,0,1
72,2025-01-10,08:58,Karaganda,Clear,Pizza,19.92,21,0,4
73,2025-02-25,15:04,Almaty,Clear,Burgers,21.17,44,0,4
74,2025-04-29,15:05,Karaganda,Cloudy,Burgers,16.78,66,1,2
75,2025-04-19,08:53,Almaty,Rain,Pizza,13.73,105,1,3
76,2025-01-24,17:30,Karaganda,Clear,Salads,17.01,25,0,5
77,2025-03-02,15:36,Shymkent,Cloudy,Pizza,8.14,32,0,2
78,2025-05-01,17:57,Atyrau,Clear,Salads,22.61,32,0,1
79,2025-03-16,16:07,Astana,Rain,Sushi,7.51,30,0,4
80,2025-03-26,13:42,Shymkent,Cloudy,Salads,17.24,66,1,1
81,2025-04-13,18:34,Atyrau,Cloudy,Pizza,21.5,67,1,3
82,2025-02-19,18:28,Almaty,Clear,Salads,7.87,39,0,4
83,2025-04-01,18:02,Astana,Clear,Burgers,21.38,16,0,3
84,2025-02-19,09:46,Almaty,Clear,Sushi,10.94,69,1,4
85,2025-01-19,15:55,Karaganda,Clear,Pizza,18.72,21,0,3
86,2025-03-09,09:00,Astana,Clear,Salads,17.81,61,1,4
87,2025-01-09,14:44,Karaganda,Cloudy,Pizza,8.05,69,1,1
88,2025-03-06,13:16,Shymkent,Snow,Pizza,9.72,60,1,1
89,2025-01-07,11:48,Shymkent,Clear,Salads,10.41,51,1,3
90,2025-04-19,09:38,Almaty,Cloudy,Desserts,4.53,37,0,3
91,2025-01-01,17:40,Atyrau,Clear,Burgers,10.65,47,1,4
92,2025-04-01,11:42,Almaty,Clear,Salads,11.9,37,0,1
93,2025-03-03,19:13,Astana,Cloudy,Salads,24.64,32,0,3
94,2025-04-06,11:24,Shymkent,Rain,Desserts,12.09,100,1,3
95,2025-01-09,18:59,Almaty,Clear,Desserts,9.61,26,0,2
96,2025-03-24,19:57,Karaganda,Rain,Pizza,11.72,63,1,2
97,2025-02-24,22:05,Shymkent,Clear,Desserts,13.05,43,0,5
98,2025-04-19,15:36,Atyrau,Clear,Sushi,15.86,56,1,3
99,2025-02-02,14:54,Astana,Clear,Salads,21.4,26,0,4
100,2025-03-14,15:08,Karaganda,Cloudy,Sushi,6.24,20,0,4
101,2025-03-18,09:07,Atyrau,Cloudy,Desserts,5.98,23,0,1
102,2025-04-13,13:02,Atyrau,Clear,Salads,14.47,73,1,2
103,2025-03-24,20:12,Karaganda,Clear,Desserts,8.86,36,0,4
104,2025-01-28,09:19,Karaganda,Snow,Burgers,10.88,88,1,1
105,2025-04-27,21:47,Shymkent,Clear,Pizza,17.73,36,0,4
106,2025-02-12,15:46,Astana,Cloudy,Salads,24.45,70,1,1
107,2025-04-14,16:11,Astana,Cloudy,Sushi,5.45,69,1,1
108,2025-03-30,15:59,Shymkent,Clear,Salads,17.3,54,1,1
109,2025-03-26,17:56,Almaty,Cloudy,Desserts,18.67,89,1,4
110,2025-01-01,17:38,Atyrau,Rain,Sushi,17.71,69,1,5
111,2025-03-15,11:22,Shymkent,Clear,Sushi,4.47,74,1,3
112,2025-02-01,17:45,Karaganda,Rain,Sushi,24.77,81,1,1
113,2025-03-04,18:53,Atyrau,Clear,Burgers,16.15,33,0,5
114,2025-04-15,15:51,Karaganda,Clear,Pizza,22.05,37,0,4
115,2025-03-26,13:20,Almaty,Rain,Pizza,5.34,55,1,2
116,2025-04-17,18:56,Karaganda,Snow,Sushi,11.12,62,1,3
117,2025-04-22,20:35,Atyrau,Clear,Sushi,8.14,38,0,5
118,2025-01-19,19:28,Atyrau,Clear,Sushi,7.72,56,1,5
119,2025-04-12,21:00,Astana,Cloudy,Desserts,13.87,36,0,5
120,2025-04-17,10:19,Astana,Clear,Salads,15.03,16,0,3
121,2025-03-18,14:52,Shymkent,Clear,Pizza,22.45,59,1,1
122,2025-02-25,21:22,Almaty,Cloudy,Desserts,10.73,81,1,3
123,2025-02-14,19:07,Shymkent,Clear,Pizza,24.81,57,1,1
124,2025-03-05,08:00,Astana,Clear,Salads,12.84,34,0,1
125,2025-01-03,11:36,Astana,Rain,Sushi,16.33,81,1,3
126,2025-03-08,12:09,Shymkent,Rain,Sushi,9.85,101,1,3
127,2025-01-21,13:30,Atyrau,Clear,Salads,6.22,78,1,1
128,2025-01-18,22:11,Karaganda,Clear,Salads,22.52,27,0,1
129,2025-04-17,20:26,Atyrau,Clear,Salads,14.88,42,0,5
130,2025-04-25,12:09,Shymkent,Cloudy,Burgers,19.39,73,1,1
131,2025-02-25,12:54,Atyrau,Cloudy,Sushi,21.22,78,1,3
132,2025-04-10,13:18,Atyrau,Clear,Salads,24.53,25,0,1
133,2025-04-29,17:07,Karaganda,Cloudy,Salads,11.97,79,1,3
134,2025-01-18,15:01,Shymkent,Clear,Sushi,20.03,44,0,5
135,2025-01-18,11:07,Shymkent,Rain,Sushi,9.0,60,1,2
136,2025-03-13,13:44,Astana,Cloudy,Burgers,12.11,90,1,1
137,2025-01-20,17:52,Atyrau,Clear,Pizza,14.38,23,0,4
138,2025-04-21,22:59,Astana,Clear,Burgers,8.51,59,1,3
139,2025-04-01,09:22,Astana,Clear,Salads,18.49,24,0,5
140,2025-02-01,21:41,Karaganda,Rain,Pizza,13.09,66,1,3
141,2025-02-05,10:22,Karaganda,Clear,Desserts,24.83,61,1,1
142,2025-01-12,09:20,Karaganda,Rain,Desserts,16.77,61,1,1
143,2025-01-11,19:59,Karaganda,Rain,Burgers,13.4,68,1,1
144,2025-03-15,08:06,Astana,Clear,Desserts,21.51,78,1,3
145,2025-03-06,20:32,Almaty,Clear,Desserts,7.27,24,0,4
146,2025-04-05,22:18,Shymkent,Cloudy,Salads,18.09,61,1,1
147,2025-04-07,14:58,Astana,Clear,Burgers,11.13,17,0,3
148,2025-04-03,13:26,Shymkent,Snow,Sushi,5.77,40,0,2
149,2025-04-11,21:00,Almaty,Clear,Burgers,24.39,19,0,2
150,2025-04-09,13:54,Atyrau,Clear,Salads,14.26,17,0,4
151,2025-02-12,12:54,Almaty,Rain,Sushi,11.55,73,1,3
152,2025-04-06,19:39,Shymkent,Cloudy,Sushi,4.34,25,0,1
153,2025-01-25,12:46,Karaganda,Snow,Pizza,4.94,65,1,5
154,2025-01-10,16:42,Almaty,Rain,Desserts,12.71,53,1,3
155,2025-04-13,16:52,Astana,Clear,Sushi,9.38,32,0,3
156,2025-04-27,11:56,Astana,Snow,Burgers,16.54,73,1,2
157,2025-01-18,18:40,Shymkent,Clear,Burgers,11.97,23,0,2
158,2025-01-14,11:27,Astana,Snow,Desserts,21.17,33,0,2
159,2025-04-01,22:45,Atyrau,Clear,Sushi,24.63,89,1,4
160,2025-01-23,22:53,Shymkent,Clear,Sushi,21.36,66,1,2
161,2025-01-11,12:08,Almaty,Clear,Desserts,7.51,34,0,4
162,2025-01-17,11:50,Almaty,Clear,Salads,8.09,21,0,1
163,2025-03-14,21:39,Atyrau,Clear,Burgers,19.02,43,0,3
164,2025-04-02,16:55,Almaty,Clear,Burgers,15.97,36,0,1
165,2025-01-03,12:55,Shymkent,Clear,Pizza,23.16,54,1,3
166,2025-03-02,09:13,Karaganda,Snow,Burgers,18.24,100,1,4
167,2025-01-03,15:07,Karaganda,Clear,Burgers,12.93,80,1,4
168,2025-01-28,16:35,Karaganda,Cloudy,Desserts,9.07,84,1,5
169,2025-02-01,22:15,Almaty,Clear,Sushi,16.29,58,1,5
170,2025-01-16,09:05,Atyrau,Clear,Desserts,7.11,18,0,2
171,2025-02-08,20:20,Karaganda,Clear,Salads,10.62,89,1,3
172,2025-01-01,20:57,Shymkent,Cloudy,Pizza,8.35,33,0,4
173,2025-01-21,18:04,Astana,Snow,Sushi,17.17,109,1,3
174,2025-03-04,17:11,Karaganda,Clear,Sushi,7.75,34,0,3
175,2025-04-17,22:54,Shymkent,Rain,Desserts,12.53,100,1,1
176,2025-04-12,10:11,Astana,Clear,Salads,13.65,30,0,1
177,2025-01-29,09:24,Atyrau,Clear,Desserts,12.39,25,0,1
178,2025-01-06,14:04,Shymkent,Clear,Burgers,24.62,80,1,2
179,2025-02-19,20:20,Shymkent,Cloudy,Pizza,17.71,30,0,3
180,2025-03-28,08:14,Atyrau,Clear,Desserts,9.36,21,0,4
181,2025-04-26,21:29,Atyrau,Cloudy,Burgers,17.93,47,1,5
182,2025-03-24,14:32,Almaty,Clear,Salads,15.32,40,0,5
183,2025-03-11,11:05,Atyrau,Snow,Pizza,15.53,28,0,2
184,2025-04-24,12:08,Astana,Clear,Burgers,16.69,80,1,5
185,2025-03-28,21:25,Almaty,Cloudy,Desserts,15.98,71,1,3
186,2025-02-07,17:49,Almaty,Snow,Pizza,16.85,94,1,5
187,2025-04-14,16:30,Atyrau,Cloudy,Salads,24.93,61,1,1
188,2025-03-05,12:54,Karaganda,Rain,Salads,4.05,40,0,3
189,2025-02-16,11:16,Shymkent,Clear,Burgers,7.28,73,1,4
190,2025-04-14,12:48,Karaganda,Rain,Sushi,11.21,34,0,4
191,2025-03-27,19:44,Almaty,Clear,Salads,15.36,73,1,1
192,2025-02-17,12:54,Atyrau,Snow,Burgers,23.48,78,1,4
193,2025-04-22,14:58,Atyrau,Snow,Salads,17.06,52,1,4
194,2025-01-31,20:11,Astana,Snow,Sushi,24.75,119,1,4
195,2025-03-02,13:43,Astana,Clear,Desserts,12.72,40,0,5
196,2025-04-06,13:31,Atyrau,Clear,Salads,19.69,47,1,1
197,2025-02-04,17:42,Karaganda,Clear,Sushi,6.47,87,1,5
198,2025-02-28,17:18,Astana,Rain,Burgers,8.81,42,0,2
199,2025-01-11,11:24,Almaty,Snow,Burgers,17.65,102,1,2
200,2025-04-21,15:57,Shymkent,Clear,Salads,10.76,55,1,2
201,2025-04-12,10:34,Astana,Clear,Salads,13.47,71,1,1
202,2025-03-13,14:00,Almaty,Rain,Desserts,10.13,104,1,3
203,2025-03-05,22:53,Shymkent,Snow,Salads,8.84,106,1,5
204,2025-01-05,13:15,Shymkent,Clear,Salads,19.14,24,0,3
205,2025-03-16,20:37,Shymkent,Cloudy,Desserts,13.38,21,0,2
206,2025-04-28,20:33,Astana,Clear,Sushi,22.48,82,1,2
207,2025-03-21,13:06,Astana,Cloudy,Sushi,4.68,38,0,5
208,2025-01-31,19:26,Karaganda,Clear,Sushi,4.78,70,1,3
209,2025-04-09,17:16,Astana,Clear,Sushi,9.5,73,1,3
210,2025-03-15,08:17,Astana,Snow,Sushi,23.89,91,1,3
211,2025-03-13,12:39,Karaganda,Rain,Desserts,8.46,45,0,2
212,2025-03-15,11:28,Almaty,Cloudy,Salads,11.03,33,0,4
213,2025-04-28,17:27,Almaty,Snow,Desserts,19.11,89,1,4
214,2025-04-19,20:41,Astana,Clear,Pizza,4.04,47,1,2
215,2025-04-13,10:59,Shymkent,Rain,Pizza,21.8,98,1,5
216,2025-01-27,20:41,Shymkent,Rain,Desserts,8.36,113,1,5
217,2025-03-28,11:19,Atyrau,Clear,Desserts,15.1,67,1,1
218,2025-03-29,15:48,Shymkent,Clear,Pizza,9.01,70,1,1
219,2025-02-26,08:32,Almaty,Clear,Desserts,16.87,58,1,4
220,2025-01-16,20:53,Astana,Cloudy,Salads,14.65,86,1,2
221,2025-04-29,09:49,Astana,Cloudy,Burgers,10.82,60,1,1
222,2025-04-04,13:52,Shymkent,Cloudy,Burgers,8.34,42,0,2
223,2025-02-19,18:39,Astana,Cloudy,Salads,21.73,21,0,2
224,2025-04-05,17:17,Almaty,Clear,Desserts,18.81,74,1,3
225,2025-04-07,14:33,Shymkent,Clear,Sushi,6.91,81,1,2
226,2025-02-07,09:31,Almaty,Rain,Burgers,14.41,116,1,2
227,2025-04-09,14:52,Astana,Clear,Sushi,10.78,57,1,1
228,2025-04-26,16:18,Shymkent,Rain,Salads,15.41,110,1,3
229,2025-01-04,09:13,Astana,Clear,Desserts,5.22,89,1,1
230,2025-01-05,18:15,Atyrau,Clear,Pizza,12.22,44,0,5
231,2025-03-17,10:45,Atyrau,Rain,Desserts,23.46,68,1,3
232,2025-03-20,11:44,Astana,Rain,Salads,6.67,120,1,5
233,2025-01-20,17:29,Karaganda,Snow,Salads,21.69,64,1,4
234,2025-04-08,19:07,Astana,Cloudy,Burgers,16.07,28,0,3
235,2025-01-11,14:36,Karaganda,Clear,Desserts,23.42,53,1,5
236,2025-01-03,21:31,Shymkent,Rain,Desserts,12.64,37,0,2
237,2025-03-23,11:01,Almaty,Clear,Desserts,8.78,46,1,1
238,2025-04-27,08:33,Shymkent,Clear,Burgers,6.94,46,1,5
239,2025-04-23,11:01,Atyrau,Rain,Pizza,17.12,78,1,5
240,2025-01-16,18:00,Shymkent,Rain,Sushi,6.82,105,1,2
241,2025-03-09,12:00,Karaganda,Clear,Sushi,15.08,36,0,4
242,2025-02-27,20:19,Shymkent,Rain,Pizza,20.56,41,0,2
243,2025-03-20,10:47,Atyrau,Clear,Desserts,12.81,31,0,4
244,2025-03-20,09:52,Almaty,Clear,Pizza,7.76,25,0,2
245,2025-04-15,14:22,Almaty,Clear,Burgers,6.46,40,0,3
246,2025-03-26,08:54,Almaty,Clear,Burgers,5.21,79,1,4
247,2025-04-22,16:10,Karaganda,Clear,Sushi,17.92,73,1,4
248,2025-02-11,11:29,Shymkent,Clear,Sushi,19.83,26,0,5
249,2025-04-09,12:57,Almaty,Clear,Sushi,21.66,55,1,4
250,2025-04-21,16:27,Shymkent,Snow,Pizza,20.45,117,1,1
251,2025-03-18,15:54,Karaganda,Clear,Desserts,8.3,30,0,2
252,2025-03-18,11:16,Almaty,Clear,Pizza,11.99,54,1,5
253,2025-04-09,22:47,Karaganda,Rain,Sushi,17.6,108,1,5
254,2025-04-17,20:13,Almaty,Cloudy,Burgers,20.82,45,0,3
255,2025-02-07,12:57,Karaganda,Clear,Burgers,5.36,64,1,3
256,2025-03-06,19:36,Karaganda,Cloudy,Pizza,13.93,75,1,4
257,2025-02-15,16:31,Shymkent,Rain,Pizza,16.2,29,0,4
258,2025-04-19,13:44,Almaty,Cloudy,Salads,5.81,81,1,4
259,2025-01-24,10:12,Karaganda,Clear,Burgers,20.5,82,1,3
260,2025-02-22,11:11,Almaty,Clear,Pizza,18.72,56,1,4
261,2025-02-01,21:30,Karaganda,Clear,Pizza,20.8,41,0,5
262,2025-02-28,12:49,Karaganda,Rain,Pizza,11.0,48,1,4
263,2025-04-03,16:25,Karaganda,Clear,Pizza,16.91,64,1,1
264,2025-03-04,08:06,Almaty,Rain,Desserts,17.31,26,0,2
265,2025-03-13,20:56,Astana,Clear,Burgers,5.23,37,0,3
266,2025-04-14,22:57,Astana,Cloudy,Desserts,10.91,35,0,2
267,2025-04-04,19:07,Shymkent,Rain,Pizza,8.75,82,1,5
268,2025-03-26,19:15,Astana,Clear,Desserts,9.13,79,1,1
269,2025-01-09,14:30,Almaty,Clear,Salads,14.34,53,1,5
270,2025-03-06,17:02,Almaty,Rain,Desserts,7.04,28,0,5
271,2025-02-25,11:48,Astana,Cloudy,Pizza,19.99,40,0,5
272,2025-02-12,15:10,Karaganda,Clear,Sushi,5.78,75,1,5
273,2025-03-25,15:18,Astana,Clear,Burgers,21.43,42,0,3
274,2025-02-04,14:48,Shymkent,Snow,Pizza,23.18,94,1,4
275,2025-04-18,15:15,Karaganda,Clear,Desserts,14.65,46,1,1
276,2025-02-10,20:21,Astana,Rain,Sushi,20.26,118,1,5
277,2025-03-23,12:31,Astana,Clear,Burgers,10.28,62,1,4
278,2025-03-02,21:15,Almaty,Clear,Desserts,23.85,69,1,5
279,2025-05-01,14:11,Almaty,Clear,Salads,9.15,27,0,4
280,2025-02-22,09:35,Almaty,Clear,Desserts,21.02,57,1,2
281,2025-03-18,13:19,Shymkent,Clear,Desserts,13.17,18,0,4
282,2025-01-11,18:04,Astana,Snow,Desserts,19.54,111,1,3
283,2025-04-20,19:42,Almaty,Clear,Salads,8.33,32,0,1
284,2025-04-02,14:58,Astana,Clear,Desserts,4.53,90,1,5
285,2025-02-16,10:11,Astana,Clear,Sushi,9.22,45,0,2
286,2025-04-10,21:36,Almaty,Clear,Burgers,16.83,90,1,3
287,2025-01-17,10:39,Shymkent,Clear,Burgers,20.1,77,1,5
288,2025-04-12,19:18,Shymkent,Rain,Sushi,13.19,111,1,5
289,2025-03-07,13:29,Karaganda,Clear,Burgers,13.79,59,1,4
290,2025-01-23,12:28,Shymkent,Clear,Pizza,15.45,86,1,1
291,2025-03-09,09:26,Astana,Clear,Pizza,4.26,21,0,2
292,2025-03-22,10:10,Karaganda,Clear,Burgers,20.53,41,0,4
293,2025-03-08,19:07,Shymkent,Clear,Sushi,8.46,78,1,5
294,2025-01-01,19:56,Shymkent,Rain,Desserts,24.68,114,1,3
295,2025-03-13,22:21,Karaganda,Cloudy,Salads,21.58,24,0,1
296,2025-03-23,11:13,Astana,Clear,Sushi,8.09,78,1,5
297,2025-03-30,16:29,Karaganda,Rain,Burgers,24.09,46,1,5
298,2025-01-27,08:43,Karaganda,Cloudy,Desserts,13.0,20,0,2
299,2025-02-01,18:28,Almaty,Clear,Burgers,24.22,25,0,2
300,2025-02-14,11:12,Karaganda,Clear,Salads,7.27,51,1,2
301,2025-02-24,09:30,Astana,Snow,Sushi,12.78,91,1,3
302,2025-01-06,10:45,Almaty,Rain,Pizza,22.52,117,1,1
303,2025-02-05,09:28,Atyrau,Clear,Burgers,8.23,76,1,3
304,2025-02-19,21:27,Atyrau,Cloudy,Desserts,17.17,60,1,5
305,2025-04-09,13:15,Atyrau,Clear,Desserts,4.37,86,1,2
306,2025-03-30,19:57,Almaty,Clear,Pizza,23.65,79,1,4
307,2025-04-17,16:47,Karaganda,Clear,Desserts,11.95,42,0,3
308,2025-01-14,22:36,Karaganda,Clear,Desserts,15.25,23,0,3
309,2025-03-16,10:22,Shymkent,Cloudy,Salads,7.03,51,1,5
310,2025-01-07,14:35,Almaty,Clear,Burgers,20.42,72,1,5
311,2025-04-19,15:41,Almaty,Rain,Burgers,11.13,72,1,1
312,2025-04-27,10:55,Atyrau,Rain,Pizza,21.61,76,1,2
313,2025-01-15,20:25,Shymkent,Cloudy,Pizza,15.45,17,0,5
314,2025-04-15,12:29,Shymkent,Rain,Sushi,16.04,29,0,4
315,2025-02-02,20:19,Atyrau,Clear,Sushi,16.38,45,0,4
316,2025-01-18,11:42,Karaganda,Clear,Burgers,7.74,27,0,1
317,2025-02-08,16:38,Karaganda,Clear,Sushi,21.4,59,1,4
318,2025-02-01,17:34,Karaganda,Clear,Sushi,7.19,79,1,4
319,2025-03-20,19:00,Shymkent,Clear,Desserts,21.73,82,1,3
320,2025-04-04,13:50,Astana,Cloudy,Burgers,4.91,70,1,1
321,2025-01-03,11:00,Karaganda,Rain,Salads,21.25,99,1,4
322,2025-01-19,17:17,Atyrau,Clear,Pizza,24.34,35,0,3
323,2025-02-12,20:03,Atyrau,Rain,Desserts,17.62,51,1,3
324,2025-04-03,18:05,Atyrau,Snow,Salads,16.21,114,1,2
325,2025-04-30,11:34,Almaty,Snow,Salads,17.91,45,0,1
326,2025-03-13,13:12,Atyrau,Clear,Pizza,7.52,64,1,3
327,2025-04-10,11:20,Karaganda,Snow,Salads,16.07,92,1,4
328,2025-02-22,10:48,Almaty,Clear,Salads,12.31,46,1,2
329,2025-04-03,08:34,Karaganda,Clear,Pizza,15.97,45,0,3
330,2025-04-15,13:00,Atyrau,Cloudy,Sushi,9.75,72,1,4
331,2025-02-16,09:09,Astana,Clear,Sushi,21.19,44,0,2
332,2025-04-28,22:08,Karaganda,Clear,Pizza,9.66,21,0,4
333,2025-01-07,11:51,Almaty,Cloudy,Pizza,21.96,43,0,2
334,2025-02-22,12:39,Shymkent,Clear,Sushi,21.25,70,1,1
335,2025-01-29,08:53,Karaganda,Rain,Pizza,9.09,36,0,1
336,2025-02-25,12:39,Karaganda,Snow,Sushi,18.53,37,0,1
337,2025-03-28,18:43,Karaganda,Clear,Burgers,12.62,42,0,1
338,2025-05-01,09:20,Almaty,Clear,Sushi,16.61,70,1,2
339,2025-01-14,17:06,Atyrau,Clear,Sushi,4.91,43,0,4
340,2025-04-07,14:55,Astana,Cloudy,Sushi,10.59,28,0,1
341,2025-01-16,19:14,Astana,Snow,Salads,6.87,69,1,3
342,2025-04-25,18:21,Karaganda,Snow,Burgers,19.84,40,0,1
343,2025-02-01,22:00,Astana,Clear,Sushi,14.82,81,1,4
344,2025-03-31,21:58,Almaty,Rain,Burgers,8.51,43,0,3
345,2025-03-03,13:15,Atyrau,Cloudy,Desserts,8.07,47,1,5
346,2025-01-12,21:30,Shymkent,Clear,Sushi,15.31,67,1,4
347,2025-03-11,09:17,Almaty,Rain,Desserts,4.54,70,1,4
348,2025-03-22,11:39,Astana,Clear,Desserts,22.39,16,0,2
349,2025-01-06,16:26,Almaty,Cloudy,Pizza,16.82,24,0,2
350,2025-01-04,11:17,Atyrau,Cloudy,Pizza,4.53,68,1,5
351,2025-01-10,18:25,Almaty,Cloudy,Burgers,10.79,70,1,4
352,2025-02-19,09:06,Almaty,Clear,Sushi,7.1,38,0,1
353,2025-03-25,14:57,Atyrau,Clear,Desserts,12.97,85,1,5
354,2025-04-18,13:49,Atyrau,Clear,Desserts,24.84,90,1,1
355,2025-03-21,15:53,Shymkent,Clear,Desserts,13.36,36,0,1
356,2025-02-07,15:32,Atyrau,Rain,Desserts,21.46,90,1,5
357,2025-03-31,17:53,Atyrau,Clear,Salads,24.65,74,1,1
358,2025-01-17,14:48,Karaganda,Rain,Burgers,8.28,49,1,3
359,2025-04-15,12:53,Astana,Cloudy,Pizza,10.82,29,0,4
360,2025-04-02,17:26,Almaty,Clear,Sushi,23.54,64,1,3
361,2025-02-17,09:12,Karaganda,Cloudy,Pizza,16.09,22,0,4
362,2025-01-07,16:53,Atyrau,Clear,Desserts,6.81,75,1,2
363,2025-04-13,09:04,Shymkent,Clear,Salads,7.52,60,1,2
364,2025-03-11,15:06,Shymkent,Clear,Burgers,4.58,24,0,2
365,2025-01-18,16:14,Shymkent,Snow,Salads,20.35,75,1,5
366,2025-03-13,20:21,Almaty,Clear,Pizza,22.27,79,1,2
367,2025-02-19,13:53,Karaganda,Rain,Desserts,18.4,94,1,1
368,2025-04-23,22:14,Karaganda,Cloudy,Salads,15.36,71,1,5
369,2025-02-10,18:11,Shymkent,Clear,Desserts,5.61,57,1,4
370,2025-01-11,16:36,Atyrau,Clear,Pizza,15.48,68,1,2
